,DateTime,Date,index,Open,High,Low,Close,Adj Close,Volume,VIX_Log_Change,VIX_High_Low_Spread
0,2022-11-21 09:30:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,,1.8200019999999988
1,2022-11-21 09:35:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
2,2022-11-21 09:40:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
3,2022-11-21 09:45:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
4,2022-11-21 09:50:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
5,2022-11-21 09:55:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
6,2022-11-21 10:00:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
7,2022-11-21 10:05:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
8,2022-11-21 10:10:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
9,2022-11-21 10:15:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
10,2022-11-21 10:20:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
11,2022-11-21 10:25:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
12,2022-11-21 10:30:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
13,2022-11-21 10:35:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
14,2022-11-21 10:40:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
15,2022-11-21 10:45:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
16,2022-11-21 10:50:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
17,2022-11-21 10:55:00,2022-11-21,0,24.049999,24.120001,22.299999,22.360001,22.360001,0.0,0.0,1.8200019999999988
